email,password
mail0@mail.com,T^J0>!i7
mail1@mail.com,&QW87IMz
mail2@mail.com,[s0HJ^GB
mail3@mail.com,_]rCXyl(
mail4@mail.com,mOaj4[ur
mail5@mail.com,_%<>f&^j
mail6@mail.com,I.Z@>7E/
mail7@mail.com,"aAS!oUl,"
mail8@mail.com,HG0O`h&#
mail9@mail.com,=Ha@9%V/
mail10@mail.com,""">B#SA06"
mail11@mail.com,gILH'aq=
mail12@mail.com,e`qV>/)J
mail13@mail.com,$%b95#.N
mail14@mail.com,:1D?4M^p
mail15@mail.com,<D.x%?KE
mail16@mail.com,Qn&Kq]b\
mail17@mail.com,"]~#/w,7N"
mail18@mail.com,gc+v!6l8
mail19@mail.com,",rP{k+(5"
